instance,method,jobs,mc,best_found,avg_found,worst_found,std_dev,rpd_avg_%,stability_cv_%,avg_time_s,evals
tai100_10_0,GA,100,10,320336,324276.1,326905,1983.7,1.23,0.61,0.122,10000
tai100_10_0,Greedy,100,10,353608,353608.0,353608,0.0,0.0,0.0,0.027,100
tai100_10_0,RandomSearch,100,10,333303,335709.7,337260,1200.6,0.72,0.36,0.163,10000
tai100_10_0,TS,100,10,337321,343303.9,352627,5484.3,1.77,1.6,0.141,9900
tai100_20_0,GA,100,20,399946,405987.5,411050,3094.6,1.51,0.76,0.247,10000
tai100_20_0,Greedy,100,20,433184,433184.0,433184,0.0,0.0,0.0,0.085,100
tai100_20_0,RandomSearch,100,20,412102,415427.2,417384,1778.0,0.81,0.43,0.258,10000
tai100_20_0,TS,100,20,412883,420518.5,426667,4718.1,1.85,1.12,0.234,9900
tai20_10_0,GA,20,10,20364,20635.2,20842,148.8,1.33,0.72,0.071,10000
tai20_10_0,Greedy,20,10,21882,21882.0,21882,0.0,0.0,0.0,0.001,20
tai20_10_0,ILS,20,10,19884,19884.0,19884,0.0,0.0,0.0,11.098,2004
tai20_10_0,RandomSearch,20,10,21074,21206.0,21349,82.5,0.63,0.39,0.063,10000
tai20_10_0,TS,20,10,19899,20137.5,20497,193.9,1.2,0.96,0.067,9880
tai20_20_0,GA,20,20,32483,32797.2,33022,182.4,0.97,0.56,0.091,10000
tai20_20_0,Greedy,20,20,34099,34099.0,34099,0.0,0.0,0.0,0.001,20
tai20_20_0,ILS,20,20,31979,31979.0,31979,0.0,0.0,0.0,21.468,2004
tai20_20_0,RandomSearch,20,20,33091,33360.6,33610,171.5,0.81,0.51,0.088,10000
tai20_20_0,TS,20,20,32163,32320.6,32521,128.5,0.49,0.4,0.106,9880
tai20_5_0,GA,20,5,15083,15322.2,15602,158.4,1.59,1.03,0.051,10000
tai20_5_0,Greedy,20,5,16396,16396.0,16396,0.0,0.0,0.0,0.001,20
tai20_5_0,ILS,20,5,14724,14724.0,14724,0.0,0.0,0.0,4.771,2004
tai20_5_0,RandomSearch,20,5,15486,15633.2,15760,108.0,0.95,0.69,0.043,10000
tai20_5_0,TS,20,5,14749,14896.9,15072,99.9,1.0,0.67,0.037,9880
tai500_20_0,GA,500,20,7463269,7500247.9,7544441,24761.1,0.5,0.33,0.798,10000
tai500_20_0,Greedy,500,20,8104301,8104301.0,8104301,0.0,0.0,0.0,3.41,500
tai500_20_0,RandomSearch,500,20,7598570,7613319.9,7633781,12274.3,0.19,0.16,0.873,10000
tai500_20_0,TS,500,20,7677330,7763565.9,7820074,47064.1,1.12,0.61,9.766,124750
